Timestamp ,BUC1 Power State,BUC1 Power Level,BUC1 10Mhz ,BUC2 Power State,BUC2 Power Level,BUC2 10Mhz,Antenna AGC,Antenna MuteState,Antenna Baseball
1616793320,1,1573,0,1,1664,0,69,BLOCK,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793351,1,1573,0,1,1665,0,69,BLOCK,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793381,1,1570,0,1,1668,0,850,BLOCK,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793412,1,1573,0,1,1669,0,852,BLOCK,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793442,1,1576,0,1,1665,0,851,MOVING,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793473,1,1572,0,1,1669,0,851,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793503,1,1573,0,1,1674,0,851,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793534,1,1576,0,1,1671,0,851,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793564,1,1577,0,1,1664,0,851,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793595,1,1576,0,1,1664,0,852,MOVING_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793625,1,1570,0,1,1665,0,851,STABILITY_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793656,1,1577,0,1,1668,0,850,STABILITY_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793686,1,1572,0,1,1664,0,849,STABILITY_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793717,1,1572,0,1,1664,0,846,STABILITY_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793747,1,1570,0,1,1664,0,841,STABILITY_OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793778,1,1572,0,1,1669,0,832,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793808,1,1570,0,1,1665,0,819,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793839,1,1577,0,1,1665,0,1008,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793869,1,1572,0,1,1664,0,1027,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793899,1,1570,0,1,1664,0,1027,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793930,1,1570,0,1,1669,0,1027,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793960,1,1572,0,1,1665,0,1033,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616793991,1,1567,0,1,1668,0,1035,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794021,1,1576,0,1,1668,0,1030,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794052,1,1567,0,1,1665,0,1024,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794082,1,1577,0,1,1660,0,1018,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794113,1,1567,0,1,1665,0,1011,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794143,1,1573,0,1,1668,0,1015,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794174,1,1572,0,1,1665,0,1018,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794204,1,1576,0,1,1665,0,1029,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794235,1,1576,0,1,1665,0,1031,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794265,1,1576,0,1,1662,0,1034,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794296,1,1572,0,1,1664,0,1030,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794326,1,1573,0,1,1668,0,1027,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
1616794357,1,1572,0,1,1664,0,1029,OFF,BB1/R LOAD  ON ,BB2/L LOAD  ON
